name,twitter,parliament
Aaja Chemnitz Larsen,1.61054536471,8.20278698283
Anders Samuelsen,2.05031753275,9.4281975526
Astrid Krag,2.30117833095,7.78666233182
Benny Engelbrecht,1.99977780109,5.64431689
Bertel Haarder,1.50151438706,6.46573896045
Brian Mikkelsen,2.63917385459,13.2625079697
Christine Antorini,2.34955372937,14.4169824414
Dan Jørgensen,2.03459623071,7.18527696948
Henrik Dahl,1.96460988401,14.1421356237
Ida Auken,2.0631852256,13.2323581201
Joachim B. Olsen,1.94220544363,9.55966431097
Karin Gaardsted,1.66501773383,15.2689562722
Kristian Jensen,2.12677032354,16.7136804859
Lars Løkke Rasmussen,2.64893125944,37.293962577
Marianne Jelved,2.02185605817,7.07873629133
Marie Krarup,2.16739810789,10.953067925
Mattias Tesfaye,2.05241092076,0.0
Mette Reissmann,2.15234890008,16.2489560104
Mogens Lykketoft,1.65444300099,6.21054140939
Morten Østergaard,2.24084347406,13.5914056867
Naser Khader,2.08031772187,19.4550764583
Nicolai Wammen,3.24517031709,7.59196489945
Nikolaj Villumsen,2.11513166897,11.0828754484
Pernille Bendixen,1.14519817155,23.3345237792
Pernille Skipper,2.31470350004,14.8416995126
Peter Skaarup,2.37916399726,15.7808460496
Pia Olsen Dyhr,2.26808502196,9.47779972212
Rasmus Prehn,2.48244907013,15.0261956137
Søren Espersen,3.09821135508,5.62635889659
Søren Pape Poulsen,2.5787281079,23.1170932429
Søren Pind,2.00508078058,6.16997772358
Torsten Gejl,2.16400883325,9.89137430867
Trine Bramsen,2.19997993272,12.7962234012
Villum Christensen,0.0,7.74228317216
Zenia Stampe,2.28772391354,10.1713884429
